FEMALE,MALE,HEIGHT,WEIGHT,HEAD_WIDTH,SHOULDER_WIDTH,WAIST_WIDTH,WAIST_LENGTH,HIP_WIDTH,HIP_LENGTH,THIGH_WIDTH,THIGH_LENGTH,KNEE_WIDTH,KNEE_LENGTH,WTR,WHpR,WHdR,HpHdR,WTR(Length),WHpR(Length),ShWR,ShHpR,ShThR
1,0,0.089646725,55.8,0.024633086,0.080460147,0.089067319,-0.016727148,0.149779362,-0.018855981,0.138466761,0.008118747,0.142021404,0.047856663,0.038159101,0.030005316,0.138532555,0.201351899,0.042471235,0.08776513,0.072082796,0.018963373,0.028262359
1,0,-0.014448962,43.8,-0.046871569,-0.016898322,-0.102732401,-0.058627672,-0.065042916,0.016853922,-0.040011176,0.045494492,-0.058782878,-0.010089121,0.013745765,0.042310119,0.019542832,0.061384299,-0.02343855,0.004027294,0.190106163,0.134758721,0.10926309
0,1,0.123153361,66.6,0.145433562,0.138657245,0.12866223,0.083978183,0.074441368,0.092799341,0.109177934,0.02478561,0.197956385,0.147151421,0.111260491,0.149774286,0.072139062,0.026243764,0.119409542,0.080084965,0.096646453,0.146417228,0.115708839
1,0,0.021993907,51.5,0.109040338,0.084031862,0.105737635,0.05757191,0.086508382,0.040855627,0.129977186,0.156697033,0.160108873,0.000665324,0.072637743,0.117142604,0.086105122,0.070235995,-0.012835246,0.112488005,0.070233949,0.086342324,0.049004851
1,0,-0.002214423,49.1,0.031373896,0.027081149,0.00951086,0.010595848,0.018882722,0.006711958,-0.07179268,0.014171352,0.10835851,-0.133570092,0.199987274,0.089965329,0.06968225,0.080759975,0.072686609,0.103646787,0.113260334,0.099728637,0.212620364
0,1,0.114264472,50.8,0.107112161,0.051677894,0.010290017,0.019829878,0.060789162,0.015593227,0.076042463,0.04578102,0.400210474,0.099152478,0.034922723,0.050976638,0.009942962,0.055523264,0.053261919,0.10726054,0.142632848,0.086299818,0.073917683
0,1,0.163682815,80.4,0.109987916,0.119235322,0.204641175,0.186948676,0.208507278,0.191898793,0.249756508,0.243593363,0.554443071,0.144263634,0.068797191,0.106182818,0.18358436,0.190885592,0.024073122,0.096064785,0.02790029,0.025758539,-0.00474859
1,0,0.085167601,66.3,0.034612166,0.133672531,0.258161887,0.179121762,0.224603591,0.154134373,0.133159911,0.155987986,0.313776831,0.0961641,0.232437619,0.143305588,0.319747869,0.2939036,0.087976718,0.129104567,0.003274887,0.029085018,0.106661114
0,1,0.197774972,69.1,0.169461685,0.169774468,0.161680965,0.043428014,0.171662548,0.037754373,0.16787913,0.139781426,0.245655382,0.167531355,0.108154786,0.107010142,0.100427785,0.110474841,0.002310489,0.118640811,0.116804392,0.10562444,0.111651251
0,1,0.163033978,76.7,0.150046603,0.159340846,0.175815226,0.272798448,0.144589655,0.188878363,0.113279466,0.148854551,0.240200046,0.052636247,0.18025766,0.150476367,0.132190899,0.107062323,0.170511056,0.189141957,0.098001444,0.123817084,0.157806086
0,1,0.167535936,71.5,0.252432376,0.170802723,0.160494442,0.219016624,0.15536422,0.188296747,0.201834507,0.153738157,0.252073444,0.1058744,0.083272175,0.128368435,0.043683832,0.039266247,0.128662703,0.143134691,0.125991787,0.127774025,0.08963133
1,0,0.129791565,50,0.112017974,0.003299099,0.035786351,0.049324778,0.140365296,0.054701483,0.040549304,0.055995441,-0.004911975,-0.006476623,0.118603356,0.022709034,0.0468754,0.144973275,0.086050777,0.11584718,0.084519752,-0.009178702,0.079471938
0,1,0.191829716,86.8,0.231165193,0.280454004,0.223593566,0.251685885,0.183075517,0.22831005,0.239526195,0.376900315,0.617384457,0.343890536,0.114408618,0.169683563,0.115642105,0.083915942,-0.002572663,0.14145371,0.173106819,0.20706843,0.159428242
0,1,0.186547228,56.7,0.22427111,0.168095366,0.148007531,0.213007479,0.120041136,0.202496923,0.20653597,0.111802406,0.284407186,0.142909682,0.077952711,0.162669558,0.063193446,0.040366384,0.17377698,0.134206364,0.145896192,0.169419966,0.09334732
0,1,0.182626146,55,0.147548729,0.120754146,0.153266232,0.197291705,0.108986848,0.198173877,0.124845004,0.186693497,0.248751182,0.115433378,0.164247666,0.183554747,0.132212165,0.094726044,0.096359421,0.127130391,0.099277219,0.138123471,0.126616752
0,1,0.180073141,64.7,0.224436634,0.214052768,0.146161997,0.229353997,0.184060046,0.321322098,0.187602396,0.137050935,0.589179903,0.295410073,0.099601907,0.104570023,0.067816464,0.100174643,0.168042593,0.052684998,0.199110063,0.157523552,0.158767028
1,0,0.100035289,43.9,0.138449799,0.04517386,0.074074486,0.034635037,0.099853889,0.099360603,0.035990589,0.04044541,0.149205123,0.178823476,0.185684886,0.116401223,0.075640455,0.100938861,0.102823845,0.068659304,0.106218667,0.078934926,0.146930526
1,0,0.115355281,57.5,0.187020009,0.172655008,0.158205151,0.133564103,0.196704919,0.171708743,0.19049187,0.135040846,0.290743336,0.021389084,0.115131494,0.111461038,0.113334513,0.149169442,0.100088516,0.102083856,0.154333507,0.116178696,0.124822647
0,1,0.171566518,70.6,0.175136273,0.153753509,0.214761759,0.217942581,0.192292563,0.170373054,0.213458234,0.253679751,0.428004789,0.219041764,0.150908749,0.173746306,0.175913493,0.159335752,0.070366137,0.190327087,0.088879274,0.106296241,0.090935214
0,1,0.218166935,56.7,0.16141524,0.133901428,0.080801754,0.210086954,0.042416836,0.172865401,0.103604866,0.069880252,0.139192523,0.127986434,0.128171143,0.198828282,0.072339156,0.038507662,0.237108995,0.183280583,0.203868229,0.241837383,0.179059773
1,0,0.152310733,60,0.162319513,0.188446478,0.191938728,0.142273097,0.21230409,0.150546216,0.110932565,0.118792035,0.168450238,0.219108619,0.242519052,0.13924599,0.174285292,0.196738864,0.130477053,0.141748397,0.147488018,0.126333332,0.230822226
0,1,0.226941683,73.2,0.177985636,0.214197874,0.192651849,0.194171843,0.16306792,0.186275207,0.15706526,0.103772724,0.33387575,0.151611332,0.19552509,0.191844342,0.164250919,0.140902091,0.191866612,0.160409077,0.174357245,0.198385493,0.210367363
